prefix_tokens,cache_hit_ratio,prefix_kv_mb,no_cache_ttft_ms,prefix_cache_ttft_ms,store_get_latency_ms,ttft_reduction_ms,ttft_reduction_pct,num_requests,simulated_prefill_ms_per_token
512,0.0,256.0,60.96,60.96,40.4,0.0,0.0,100,0.08
512,0.25,256.0,60.96,60.82,40.4,0.14,0.229659,100,0.08
512,0.5,256.0,60.96,60.68,40.4,0.28,0.459318,100,0.08
512,0.75,256.0,60.96,60.54,40.4,0.42,0.688976,100,0.08
512,0.9,256.0,60.96,60.456,40.4,0.504,0.826772,100,0.08
1024,0.0,512.0,101.92,101.92,78.8,0.0,0.0,100,0.08
1024,0.25,512.0,101.92,101.14,78.8,0.78,0.765306,100,0.08
1024,0.5,512.0,101.92,100.36,78.8,1.56,1.530612,100,0.08
1024,0.75,512.0,101.92,99.58,78.8,2.34,2.295918,100,0.08
1024,0.9,512.0,101.92,99.112,78.8,2.808,2.755102,100,0.08
2048,0.0,1024.0,183.84,183.84,155.6,0.0,0.0,100,0.08
2048,0.25,1024.0,183.84,181.78,155.6,2.06,1.12054,100,0.08
2048,0.5,1024.0,183.84,179.72,155.6,4.12,2.241079,100,0.08
2048,0.75,1024.0,183.84,177.66,155.6,6.18,3.361619,100,0.08
2048,0.9,1024.0,183.84,176.424,155.6,7.416,4.033943,100,0.08
4096,0.0,2048.0,347.68,347.68,309.2,0.0,0.0,100,0.08
4096,0.25,2048.0,347.68,343.06,309.2,4.62,1.328808,100,0.08
4096,0.5,2048.0,347.68,338.44,309.2,9.24,2.657616,100,0.08
4096,0.75,2048.0,347.68,333.82,309.2,13.86,3.986424,100,0.08
4096,0.9,2048.0,347.68,331.048,309.2,16.632,4.783709,100,0.08
8192,0.0,4096.0,675.36,675.36,616.4,0.0,0.0,100,0.08
8192,0.25,4096.0,675.36,665.62,616.4,9.74,1.442194,100,0.08
8192,0.5,4096.0,675.36,655.88,616.4,19.48,2.884388,100,0.08
8192,0.75,4096.0,675.36,646.14,616.4,29.22,4.326581,100,0.08
8192,0.9,4096.0,675.36,640.296,616.4,35.064,5.191898,100,0.08
